type,name,label::English,label: Arabic,hint::English,hint::Arabic,required,relevant,choice_filter,constraint,constraint_message::English,constraint_message::Arabic,calculation,appearance,repeat_count,default
text,reasons_no_complaint_other,"85.4 If other, please describe",85.4 ???  ????? ???? ???????,,,TRUE,"selected(${reasons_no_complaint},'other')",,,,,,,,
end_group,accountability,,,,,,,,,,,,,,
select_one yes_no,contact,86. Are you prepared to provide your details so that we can contact you by telephone for any clarifications for the present survey?,???? ??????? ???????? ??????? ?? (??? ????/?????/????? ??? ?? ????) ?? ??? ???? ?? ????? ?? ??????? ?? ??????,,,TRUE,,,,,,,,,
text,contact_name,86.1. What is your name/the name of the head of household?,???? / ??? ?? ??????,,,TRUE,"selected(${contact}, 'yes')",,,,,,,,
text,contact_number,86.2. What is your phone number/the number of the head of household?,???? / ??? ?? ??????,,,TRUE,"selected(${contact}, 'yes')",,,,,,,,
select_one yes_no,m_f_survey,87. [DO NOT READ] Has this household been selected for surveys to be conducted with both male and female respondents? ,86. [?? ????] ?? ?? ?????? ??? ?????? ??????????? ???? ????? ?? ????????? ?? ?????? ????????,,,TRUE,"selected(${consent},'yes')",,,,,,,,
select_one yes_no,m_f_survey_participant,"87.1. Thank you for your time and answers. As part of this assessment, we are interested in gathering information from both male and female household members on certain key questions. Your household has been randomly selected to participate. With your permission, we would like to conduct another interview with one of your household members of the opposite sex. The interview will take 15 minutes, at most, and we will not ask any new questions, but only the ones that we asked you previously. Is there an adult member of the opposite sex who would be available to participate? ",87.  ????? ??? ???? ???????. ???? ?? ??? ??????? ? ??? ?????? ???? ????????? ?? ????? ?????? ?? ?????? ??????? ??? ??? ??????? ????????. ?? ?????? ????? ???? ?????? ????????. ??? ???? ? ??? ????? ?????? ???? ?? ??? ????? ????? ?? ????? ?????. ??????? ???????? 15 ????? ??? ?????? ? ??? ???? ?? ????? ????? ? ???? ??? ??????? ???? ??????? ???? ??????. ?? ???? ??? ???? ?? ????? ????? ????? ?????? ?????????,,,TRUE,"selected(${m_f_survey}, 'yes')",,,,,,,,
begin_group,gender_sensitivity,Gender Senstivity,,,,,"selected(${m_f_survey_participant}, 'yes')",,,,,,,,
begin_group,second_participant,Second Participant,,,,,,,,,,,,,
select_one yes_no,consent2,"88. Hi my name is _____ and I work for the Palestinian Central Bureau of Statistics. We are currently conducting a survey on household needs and would like to ask you some questions about your household composition, income generating activities, health and WASH access, access to food, protection services, and humanitarian aid. 
The survey will take 10 minutes to complete. 
The information you provide will be used to inform the humanitarian response plan in the country. Any information you provide will be kept strictly confidential and anonymous. Your name will not appear anywhere and only collective analysis will be done.  
You will not receive any benefits or services for completing the survey but we hope that you do participate as your views are very important to better inform the humanitarian response. 
The survey is voluntary and you can choose not to answer any question and/or quit at any point. 
Do you have any questions? Do you agree to participate in this survey?","88.  ?????? ? ???? _____ ????? ?? ?????? ??????? ??????? ?????????. ???? ?????? ????? ??? ???????? ?????? ???? ?? ????? ??? ??????? ??? ????? ????? ?????? ????? ????? ?????? ??????? ??? ?????? ?????? ????? ???????? ?????? ? ?????? ??? ?????? ?????? ??????? ?????????? ?????????.
??????? ????? ????????? 10 ?????.
???? ??????? ????????? ???? ?????? ?????? ??? ????????? ????????? ?? ?????. ???? ???????? ??? ??????? ?????? ?? ???? ???? ???? ????? ?? ?????. ?? ???? ???? ?? ?? ???? ????? ????? ????? ????? ???.
?? ????? ?? ????? ?? ????? ???????? ????????? ?????? ???? ?? ????? ??? ??? ????? ???? ???? ?????? ????????? ????????? ???? ????.
????????? ????? ?????? ?????? ??? ??????? ??? ?? ???? ? / ?? ??????? ?? ??????? ?? ?? ???.
?? ???? ?????? ?? ????? ??? ???????? ?? ??? ?????????? """,,,,,,,,,,,,
end_group,,,,,,,,,,,,,,,
begin_group,hh_characteristics2,Second Participant Demographics,,,,,"selected(${consent2}, 'yes')",,,,,,,,
select_one relationship,relationship2,89. What is your relation to the head of household?,89. ?? ?? ?????? ??? ???????,,,TRUE,,,,,,,,,
integer,age_respondent_r2,90. What is your age?,90. ?? ?????,,,TRUE,,,.> 17 and .< 120,Age cannot be below 18 and above 120,?? ???? ?? ???? ????? ??? ?? ??18 ???? ??120 ???,,,,
select_one sex,gender_respondent_r2,91. Respondent's sex,91. ????? ?,,,TRUE,,,,,,,,,
end_group,,,,,,,,,,,,,,,
begin_group,food_insecurity_2,Food Insecurity,?????? ????? ???????,,,,"selected(${consent2}, 'yes')",,,,,,field-list,,
note,fies_note_2,"Now I would like to ask you some questions about your food consumption in the last 12 months. During the last 12 MONTHS, was there a time when:",???? ??? ?? ???? ???? ??? ??????? ??? ???????? ?????? ???? ??? 12 ????? ???????. ,,,,,,,,,,,,
select_one yndp,lack_enough_food_2,"92.1 During the last 12 MONTHS, was there a time when you or others in your household were worried they would not have enough food to eat because of a lack of money or other resources?",92.1 ???? ?????? ??? ????? ???????? ?? ??? ???? ??? ???? ??? ??? ?? ??? ????? ????? ?????? ???? ?? ????? ?? ?????? ?????? ????? ???? ??? ???? ?????? ??????? ?? ??????? ???????,,,TRUE,,,,,,,,,
select_one yndp,lack_health_food_2,"92.2 Still thinking about the last 12 MONTHS, was there a time when you or others in your household were unable to eat healthy and nutritious food because of a lack of money or other resources?",92.2  ???????? ??? ???12 ???? ???????? ?? ??? ???? ??? ?? ????? ??? ??? ?? ??? ????? ????? ?? ????? ???? ??? ????? ???? ??? ????? ?? ??????? ???????,,,TRUE,,,,,,,,,
select_one yndp,lack_food_variety_2,92.3 Was there a time when you or others in your household ate only a few kinds of foods because of a lack of money or other resources?,92.3 ?? ?? ??? ??? ???? ??? ??? ?? ?? ??? ?? ????? ??????? ????? ?? ??????? ???? ??? ????? ?? ??????? ???????,,,TRUE,,,,,,,,,
select_one yndp,skipped_meals_2,92.4 Was there a time when you or others in your household had to skip a meal because there was not enough money or other resources to get food?,92.4 ?? ?? ???? ??? ?????? ??? ??? ?? ??? ?? ????? ????? ??? ?????? ?? ??? ??????? ???? ??? ???? ?? ???? ?? ????? ?? ??????? ?????? ?????? ??? ???????,,,TRUE,,,,,,,,,
select_one yndp,ate_less_2,"92.5 Still thinking about the last 12 MONTHS, was there a time when you or others in your household ate less than they thought they should because of a lack of money or other resources?",92.5 ???????? ??? ???12 ???? ???????? ?? ??? ???? ??? ?????? ??? ??? ?? ????? ????? ??? ??? ???? ??????? ???? ??? ????? ?? ??????? ???????,,,TRUE,,,,,,,,,
select_one yndp,out_of_food_2,92.6 Was there a time when your household ran out of food because of a lack of money or other resources?,92.6 ?? ??? ???? ??? ??? ??? ???? ????? ???? ??? ????? ?? ??????? ???????,,,TRUE,,,,,,,,,
select_one yndp,hungry_ddnt_eat_2,92.7 Was there a time when you or others in your household were hungry but did not eat because there was not enough money or other resources for food?,92.7 ?? ??? ???? ??? ???? ??? ??? ?? ????? ????? ?????? ????? ?? ??????  ?? ???? ???? ??? ???? ?? ???? ?? ????? ?? ??????? ?????? ???????,,,TRUE,,,,,,,,,
select_one yndp,day_without_eating_2,92.8 Was there a time when you or others in your household went without eating for a whole day because of a lack of money or other resources?,92.8 ?? ??? ???? ??? ?????? ??? ??? ?? ??? ?? ????? ?? ?? ?????? ?????? ???? ???? ???? ??? ????? ?? ??????? ???????,,,TRUE,,,,,,,,,
end_group,food_insecurity_2,,,,,,,,,,,,,,
begin_group,lack_of_food_mitigation_2,Lack of food mitigation strategies,??? ????????????? ????????? ???? ??????,,,,"selected(${consent2}, 'yes')",,,,,,field-list,,
note,mitigation_note_2,"93. During the past 30 days, did anyone in your household have to do one of the following things because there was not enough food or money to buy it?",93. ???? ???????? ????? ???????? ?? ???? ?? ??? ?? ????? ?????? ???? ??????? ??????? ???? ??? ???? ???? ?? ??? ???? ???????,,,,,,,,,,,,
select_one ynnn,selling_hh_properties_2,"93.1 Selling household properties (refrigerator, television, jewelry…)",93.1 ??? ??????? ?????? (????? ? ??????? ? ??????? ...),,,TRUE,,,,,,,,,
select_one ynnn,buying_food_on_credit_2,"93.2 Buying food on credit or through borrowed money from relatives, friends or financial institutions",93.2 ???? ?????? ?????? ?? ?? ???? ???????? ?? ??????? ????????? ?? ?? ?????? ?????,,,TRUE,,,,,,,,,
select_one ynnn,selling_means_of_tranport_2,"93.3 Selling means of transport (car, motorbike)",93.3 ??? ????? ????? (????? ? ????? ?????),,,TRUE,,,,,,,,,
select_one ynnn,children_dropout_2,93.4 Children dropout from school,93.4???? ??????? ?? ???????,,,TRUE,,,,,,,,,
select_one ynnn,reducing_expenditure_2,"93.5 Reducing expenditure on non-food items (health, education)",93.5 ????? ??????? ??? ?????? ??? ???????? (????? ????????),,,TRUE,,,,,,,,,
select_one ynnn,changing_residency_2,93.6 Sent household members to eat elsewhere,93.6 ????? ????? ?????? ?????? ?????? ??  ?? ???? ???,,,TRUE,,,,,,,,,
select_one ynnn,risky_behaviour_2,93.7 Accepting that adults engage in risky behavior,93.7 ???? ???????? ????????? ?? ????? ????? ????????,,,TRUE,,,,,,,,,
select_one ynnn,child_labour_2,93.8 Children under 18 work to provide resources,93.8 ??? ??????? ??? ?? 18 ??? ?????? ???????,,,TRUE,,,,,,,,,
select_one ynnn,migration_of_hh_2,93.9 Whole family are migrating,93.9 ???? ??????? ??????? ,,,TRUE,,,,,,,,,
select_one ynnn,forced_marriages_2,93.10 Children or adult forcefully marriaged,93.10 ??? ??????? ?? ??????  ????,,,TRUE,,,,,,,,,
select_one ynnn,selling_animals_2,93.11 Sold more animals (non-productive) than usual,93.11 ??? ?????? ?? ????????? (??? ???????) ???? ?? ???????,,,TRUE,,,,,,,,,
select_one ynnn,move_school_2,93.12 Move children to less expensive school,93.12 ??? ??????? ??? ????? ??? ?????,,,TRUE,,,,,,,,,
end_group,lack_of_food_mitigation_2,,,,,,,,,,,,,,
begin_group,health_group_2,Health Survey,?????,,,,"selected(${consent2}, 'yes')",,,,,,,,
select_one yes_no,hh_member_distress_2,"94. Has any member of your household suffered or showed signs of psychosocial distress or trauma such as nightmare, lasting sadness, extreme fatigue, being often tearful or extreme anxiety, in the last 30 days?",94. ?? ???? ?? ??? ?? ????? ????? ?? ???? ?????? ????? ?????? ????????? ?? ?????? ??? ???????? ????? ??????? ????? ??????? ?????? ?? ???? ?? ??????? ?? ????? ??????? ?? ???????? ????? ????????,,,TRUE,,,,,,,,,
integer,child_distress_number_2,"94.1 If yes, how many persons under 18 years showed these signs?",94.1 ??? ???? ?? ??? ??????? ????? ??? ??????? ?? 18 ????? ???? ????? ?? ?? ??? ?????????,,,TRUE,"selected(${hh_member_distress_2},'yes')",,.=0 or.<=${tot_children},Cannot be larger than number of children (less than 18 years old) in household,?? ???? ?? ???? ???? ?? ??? ??????? (??? ?? 18 ???) ?? ??????,,,,
integer,adult_distress_number_2,"94.2 If yes, how many persons aged 18 or older showed these signs?",94.2 ??? ???? ?? ??? ??????? ????? ???? ??????? 18 ????? ?? ???? ???? ????? ?? ?? ??? ?????????,,,TRUE,"selected(${hh_member_distress_2},'yes')",,.=0 or.<=${tot_adults},Cannot be larger than number of adults (18 years and older) in household,?? ???? ?? ???? ???? ?? ??? ??????? (18 ??? ?????) ?? ??????,,,,
select_one yndp,psychosocial_services_2,"95. Are you aware of any medical, legal, mental health and/or psychosocial support services for women and girls available in your community in case they experience harm or violence (incl. sexual abuse and exploitation) because of their gender?",95. ?? ??? ??? ??? ??? ????? ???? ?? ??????? ?? ????? ??? ???? ?? ??? ???? ?????? ???????? ?????? ?? ?????? ?? ??? ????? ????? ?? ????? (??? ?? ??? ???????? ?????????? ????????) ???? ??????,,,TRUE,,,,,,,,,
select_multiple pss,type_of_pss_2,"95.1 If yes, what types of services are you aware of?",95.1 ? ???? ?? ?? ????? ??????? ???? ??????? [?? ???? ????????],,,TRUE,"selected(${psychosocial_services_2}, 'yes')",,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,type_of_pss_other_2,"95.2 If other, please describe",95.2 ??? ????? ???? ???????,,,TRUE,"selected(${type_of_pss_2}, 'other')",,,,,,,,
select_one yndd,women_specialised_services_2,96. Do women of reproductive age (12-49) have access to specialized reproductive health services?,96. ?? ????? ?????? ?? ?? ??????? (12-49) ???????? ?????? ??? ????? ????? ????????? ?????????,,,TRUE,,,,,,,,,
end_group,health_group_2,,,,,,,,,,,,,,
begin_group,wash_2,WASH Survey,?????? ?????? ????? ???????? ,,,,"selected(${consent2}, 'yes')",,,,,,field-list,,
note,sufficient_water_2,97. Does your household currently have enough water to meet the following needs?,97. ?? ????? ????? ?????? ?? ???? ?? ?????? ?????? ?????????? ????????,,,,,,,,,,,,
select_one ynd,sufficient_water_drinking_2,97.1 Drinking,97.1 ?????,,,TRUE,,,,,,,,,
select_one ynd,sufficient_water_cooking_2,97.2 Cooking,97.2 ?????,,,TRUE,,,,,,,,,
select_one ynd,sufficient_water_hygiene_personal_2,97.3 Personal hygiene (washing or bathing),97.3 ??????? ??????? (???????? ?? ?????????),,,TRUE,,,,,,,,,
select_one ynd,sufficient_water_hygiene_domestic_2,"97.4 Domestic hygiene (cleaning house, floor, etc.)",97.4 ??????? ???????? (????? ?????? ????????? ??? ??? ???),,,TRUE,,,,,,,,,
select_one ynd,sufficient_water_other_2,97.5 Other domestic purposes ,97.5 ????? ?????? ????,,,TRUE,,,,,,,,,
end_group,wash_2,,,,,,,,,,,,,,
begin_group,shelter_2,Shelter ,??????,,,,"selected(${consent2}, 'yes')",,,,,,,,
select_one yndp,experienced_threats_2,98. Has any member of your household experienced threats or violent/destructive acts by non-Palestinian communities living in your area in the past 30 days? (FOR WEST BANK ONLY),98. ?? ???? ?? ??? ?? ????? ????? ???????? ?? ??? ?? ????? ??????? ?? ??? ??????? ??? ???????? ???? ?? ?????? ???? ???????? ????? ????????,,,TRUE,"selected(${location}, 'west_bank') or selected(${location}, 'ej')",,,,,,,,
select_multiple threats,type_of_threats_2,"98.1 If yes, please indicate the type of threats or violent/destructive acts",98.1 ??? ???? ???? ??????? ??? ??? ????????? ?? ??????? ??????? / ????????? [?? ???? ????????],,,TRUE,"selected(${experienced_threats_2}, 'yes')",,,,,,,,
text,type_of_threats_other_2,"98.2 If other, please specify",98.2 ??? ????? ???? ???????,,,TRUE,"selected(${type_of_threats_2},'other')",,,,,,,,
select_multiple threats_cope,coping_mechanism_threats_2,98.3 What measures has your household employed to avoid these acts in the past 30 days?,98.3 ?? ?? ????????? ???? ????????? ????? ????? ??? ??????? ?? ???????? ????? ???????? [?? ???? ????????],,,TRUE,"selected(${experienced_threats_2}, 'yes')",,"not(selected(.,""none"") and count-selected(.) >1)","Cannot select ""None"" with any other options","?? ???? ????? ""?? ????"" ?? ?? ???? ???",,,,
text,coping_mechanism_threats_other_2,"98.4 If other, please specify",98.4  ??? ????? ???? ???????,,,TRUE,"selected(${coping_mechanism_threats_2},'other')",,"not(selected(.,""none"") and count-selected(.) >1)","Cannot select ""None"" with any other options","?? ???? ????? ""?? ????"" ?? ?? ???? ???",,,,
end_group,shelter_2,,,,,,,,,,,,,,
begin_group,education_2,Education survey,???????,,,,"selected(${consent2}, 'yes')",,,,,,,,
select_one ynp,catch_up_learning_2,99. Do you think there is a need for your children to participate in catch-up learning programmes because of missed learning due to COVID-19 related school closures?,99. ?? ????? ?? ?????? ????? ???????? ?? ????? ??????? ????????? ???? ????? ?????? ????? ????? ??????? ???? ???????,,,TRUE,${tot_children} > 0,,,,,,,,
select_multiple pss_services,school_pss_services_2,100. Is there psychosocial support available at the school for children if needed?,100. ?? ???? ??? ???? ?? ??????? ??????? ??? ??? ?????? [?? ???? ????????],,,TRUE,${tot_children} > 0,,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""not_sure"") and count-selected(.) >1) and not(selected(.,""no"") and count-selected(.) >1)","Cannot select ""No""or ""Not Sure"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? "" ??? ?????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,pss_services_other_2,"100.1 If other, please specify",100.1 ??? ????? ???? ???????,,,TRUE,"selected(${school_pss_services_2},'other')",,,,,,,,
select_one school_safety,school_safety_2,101. How safe is it to travel to and to study in the education facilities?,101. ?? ?? ??? ???? ?????? ?????? ??????? ???????? ???? ?,,,TRUE,,,,,,,,,
select_multiple safety_concerns,school_safety_concerns_2,"101.1 If unsafe or very unsafe, what are the safety issues that children face?",101.1 ??? ???? ??? ???? ?? ??? ???? ????? ??? ?? ?????? ??????? ???? ??????? ???????? [?? ???? ????????],,,,"selected(${school_safety_2},'very_unsafe') or selected(${school_safety},'unsafe') ",,"not(selected(.,‘not_sure’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""Not Sure"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? "" ??? ?????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,safety_issues_other_2,"101.2 If other, please specify",101.2 ??? ????? ???? ???????,,,,"selected(${school_safety_concerns_2},'other')",,,,,,,,
end_group,education_2,,,,,,,,,,,,,,
begin_group,livelihoods_2,Livelihoods survey,??? ?????,,,,"selected(${consent2}, 'yes')",,,,,,field-list,,
note,afford_essential_needs_2,"102. I will now list five categories of needs. In the past 30 days, did you ever have trouble meeting any of the following essential needs because you could not afford them? Please tell me for each category whether you were able to afford your needs (only regarding the financial coverage)",102. ????? ???? ??? ???? ?? ??????????. ???? ???????? ????? ??????? ? ?? ????? ????? ?? ????? ?? ?? ?????????? ???????? ??????? ???? ?? ?????? ???? ????????? ?? ???? ?????? ?? ?? ??? ?? ??? ??? ?????? ??? ???? ????????? (??? ??????? ???????), Please tell me for each category whether you were able to afford your needs (only regarding the financial coverage),,,,,,,,,,,
select_one yes_no,afford_communication_needs_2,"102.1 Essential communication needs, such as phone credit or provider costs",101.1 ???????? ????????? ????????? ??? ???? ?????? ?? ?????? ???? ??????,,,TRUE,,,,,,,,,
select_one yes_no,afford_education_needs_2,"102.2 Essential education needs, such as tuition, fees, books, etc.",102.2 ???????? ??????? ????????? ??? ?????? ???????? ? ??????? ?????? ??? ??? ???.,,,TRUE,,,,,,,,,
select_one yes_no,afford_health_needs_2,"102.3 Essential health needs, such as medicines or treatments",102.3 ?????????? ?????? ????????? ??? ??????? ?? ????????,,,TRUE,,,,,,,,,
select_one yes_no,afford_shelter_needs_2,"102.4 Essential shelter needs, such as rent, furniture, construction costs",102.4 ???????? ?????? ????????? ??? ??????? ??????? ??????? ??????,,,TRUE,,,,,,,,,
select_one yes_no,afford_transport_services_2,102.5 Essential transport services,102.5 ????? ????? ????????,,,TRUE,,,,,,,,,
select_one yes_no,afford_utilities_2,"102.6 Utilities (e.g. Electricity, water)",102.6 ??????? (??? ???????? ??????),,,TRUE,,,,,,,,,
end_group,livelihoods_2,,,,,,,,,,,,,,
begin_group,protection_2,Protection survey,???????,,,,"selected(${consent2}, 'yes')",,,,,,,,
note,security_start_2,The next couple of questions will pertain to your household's SAFETY and SECURITY,????? ??????? ??????? ?????? ???? ?????,,,,,,,,,,,,
select_one yndd,feel_unsafe_2,103. Are there any areas in your location that women and girls avoid because they feel unsafe?,103. ?? ???? ????? ?? ????? ??????? ?????? ???????? ??????? ???? ???????,,,TRUE,,,,,,,,,
select_multiple unsafe_locations,unsafe_locations_2,"103.1 If yes, what areas do women and girls in your community avoid or feel unsafe?",103.1 ??? ???? ?? ?? ??????? ???? ??????? ?????? ???????? ?? ?????? ?? ????? ???? ?????? ????? [?? ???? ????????],,,TRUE,"selected(${feel_unsafe_2}, 'yes')",,"not(selected(.,‘dont_know’) and count-selected(.) >1)","Cannot select ""Don't know"" with any other option","?? ???? ?????"" ?? ????"" ?? ?? ???? ???",,,,
text,other_unsafe_locations_2,"103.2 If other, please specify",103.2 ??? ????? ???? ???????,,,TRUE,"selected(${unsafe_locations_2}, 'other')",,,,,,,,
select_multiple unsafe_locations_why,unsafe_locations_why_2,103.3 What are the reasons for why women and girls avoid these areas or feel unsafe there?,103.3 ?? ?? ??????? ???? ???? ?????? ???????? ?????? ??? ??????? ?? ????? ???? ?????? ????? [?? ???? ????????],,,TRUE,"selected(${feel_unsafe_2}, 'yes')",,"not(selected(.,""prefer_not_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? "" ??? ?????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,other_unsafe_locations_why_2,"103.4 If other, please specify",103.4 ??? ????? ???? ???????,,,TRUE,"selected(${unsafe_locations_why_2}, 'other')",,,,,,,,
select_multiple security_concerns_girls_women,security_concerns_girls_2,103.5 What do you think are the main safety and security concerns for girls (<18) in this area? ,103.5 ?????? ?? ?? ??????? ???????? ???????? ???????? ?????? ??????? (??? ?? 18 ?????) ?? ??? ???????? [?? ???? ????????],,,TRUE,,,"not(selected(.,‘none') and count-selected(.) >1) and not(selected(.,‘dont_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""None"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ????? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_concerns_girls_2,"103.6 If other, please specify",103.6 ??? ????? ???? ???????,,,TRUE,"selected(${security_concerns_girls_2}, 'other')",,,,,,,,
select_multiple security_concerns_boys,security_concerns_boys_2,103.7 What do you think are the main safety and security concerns for boys(<18) in this area? ,103.7 ?????? ?? ?? ??????? ???????? ???????? ???????? ?????? ??????? (??? ?? 18 ?????) ?? ??? ???????? [?? ???? ????????],,,TRUE,,,"not(selected(.,‘none') and count-selected(.) >1) and not(selected(.,‘dont_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""None"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ????? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_concerns_boys_2,"103.8 If other, please specify",103.8 ??? ????? ???? ???????,,,TRUE,"selected(${security_concerns_boys_2}, 'other')",,,,,,,,
select_multiple security_concerns_cwd,security_concerns_disabled_2,103.9 What do you think are the main safety and security concerns for children (<18) with a disability in this area? ,103.9 ?????? ?? ?? ??????? ???????? ???????? ???????? ?????? ??????? (??? ?? 18 ?????) ??? ?????????? ?????? ?? ???? ???????? [?? ???? ????????],,,TRUE,${tot_cwd} > 0,,"not(selected(.,‘none') and count-selected(.) >1) and not(selected(.,‘dont_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""None"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ????? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_concerns_disabled_2,"103.10 If other, please specify",103.10 ??? ????? ???? ???????,,,TRUE,"selected(${security_concerns_disabled_2}, 'other')",,,,,,,,
select_multiple security_concerns_girls_women,security_concerns_women_2,103.11 What do you think are the main safety and security concerns for women (> 18) in this area?,103.11 ?????? ?? ?? ??????? ???????? ???????? ???????? ?????? ?????? (???? ?? 18 ?????) ?? ??? ???????? [?? ???? ????????],,,TRUE,,,"not(selected(.,‘none') and count-selected(.) >1) and not(selected(.,‘dont_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""None"" or ""Don't Know"" or Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ????? ??? ??????? "" ?? ?? ???? ???",,,,
text,other_concerns_women_2,"103.12 If other, please specify",103.12 ??? ????? ???? ???????,,,TRUE,"selected(${security_concerns_women_2}, 'other')",,,,,,,,
end_group,protection_2,,,,,,,,,,,,,,
begin_group,accountability_2,Accountability to affected populations,???????? ???? ?????? ?????????,,,,"selected(${consent2}, 'yes')",,,,,,,,
note,aap_start_2,The next couple of questions will pertain to humanitarian and/or development aid that your household might receive/have received,?????? ??????? ??????? ?????????? ????????? ? / ?? ???????? ???????? ???? ?? ??????? ?? ?????? ????? ,,,,,,,,,,,,
select_one ynd,aid_received_2,104. Have you received aid in the past 30 days?,104. ?? ????? ??????? ???? ???????? ????? ????????,,,TRUE,,,,,,,,,
select_one yndd,aid_satisfaction_2,"104.1 If you have received aid in the last 30 days, are you satisfied with the aid you received?",104.1 ?? ??? ????? ?????? ???? ???????? ????? ???????? ?? ??? ???? ?? ??? ???????? ?,,,TRUE,"selected(${aid_received_2},'yes')",,,,,,,,
select_multiple aid_not_satisfied,aid_not_satisfied_2,104.2 If you were not satisfied why were you not satisfied with the aid received?,104.2 ????? ?? ??? ?????? ?? ???????? ???? ???????? [?? ???? ????????],,,TRUE,"selected(${aid_satisfaction_2},'no')",,,,,,,,
text,aid_not_satisfied_other_2,"104.3 If other, please describe",104.2  ???  ????? ???? ???????,,,,"selected(${aid_not_satisfied_2},'other')",,,,,,,,
select_one yndd,aid_workers_satisfied_2,104.4 Are you satisfied with the way aid workers have behaved in the last 6 months in your location?,104.4 ?? ??? ??? ?? ??????? ???? ???? ??? ???? ??????? ?? ?????? ????? ??????? ?? ???????,,,TRUE,"selected(${aid_received_2},'yes')",,,,,,,,
select_one yndd,complaint_mechanisms_2,105. Are you aware of how to access complaint mechanisms?,105. ?? ??? ??? ??? ?????? ?????? ??? ????? ????? ????????,,,TRUE,"selected(${aid_received_2},'yes')",,,,,,,,
select_one yndd,feedback_provided_2,105.1 Would you use the existing complaint mechanisms to provide feedback on the aid that you have received and/or the way that aid workers have behaved in your location?,105.1 ?? ??????? ????? ??????? ???????? ?????? ??????? ??? ???????? ???? ??????? ? / ?? ??????? ???? ????? ??? ???? ??????? ?? ???????,,,TRUE,"selected(${complaint_mechanisms_2},'yes')",,,,,,,,
select_one yndd,feedback_channel_quality_2,"105.2  If yes, have you or anyone in your household used complaint mechanisms in the past 6 months to provide feedback about the aid that you have received and/or the way that aid workers have behaved in your location?",105.2 ??? ???? ?? ??????? ??? ?? ?? ??? ?? ????? ????? ??????? ?? ?????? ????? ??????? ?????? ??????? ??? ???????? ???? ??????? ? / ?? ??????? ???? ???? ??? ???? ??????? ?? ???????,,,TRUE,"selected(${feedback_provided_2},'yes')",,,,,,,,
select_multiple reasons_no_complaint,reasons_no_complaint_2,"105.3  If no, what are the reasons for why you would not use the existing complaint mechanisms to provide feedback about the aid that you have received and/or the way that aid workers have behaved in your location?","105.3 ??? ""??"" ? ?? ?? ????? ??? ???????? ?????? ??????? ???????? ?????? ??????? ??? ???????? ???? ??????? ? / ?? ??????? ???? ????? ??? ???? ??????? ?? ?????? [?? ???? ????????]",,,TRUE,"selected(${feedback_provided_2},'no')",,"not(selected(.,""decline_to_answer"") and count-selected(.) >1) and not(selected(.,""dont_know"") and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Decline to answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""?? ????"" ?? ????? ??? ??????? "" ?? ?? ???? ???",,,,
text,reasons_no_complaint_other_2,"105.4 If other, please describe",105.4 ???  ????? ???? ???????,,,TRUE,"selected(${reasons_no_complaint_2},'other')",,,,,,,,
end_group,accountability_2,,,,,,,,,,,,,,
end_group,gender_sensitivity,,,,,,,,,,,,,,
note,thanks,END OF SURVEY - THANK YOU FOR YOUR TIME please exit the form and submit it,????? ???????  - ???? ??? ???? ?????? ?????? ?? ????????? ????????,,,,,,,,,,,,
